    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 07.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    Hormi***  CUT500*8500   4     C20/25       101250    1831.0   1032750.0
    Hormi***  CUT400*8760   2     C20/25       101250    1861.9    851472.0
    Hormi***  CUT400*7250   2     C20/25       101250    1554.9    704700.0
    Hormi***  CUT500*7600   1     C20/25       101250    1647.8    923400.0
    Hormi***  D1100         14    C20/25        56000     195.3    127456.8
    b/62      []200*100*4   3     S235JR         3300       2.0        60.5
    b/318     []200*100*4   1     S235JR         2870       1.7        52.6
    b/319     []200*100*4   1     S235JR         2875       1.7        52.7
    b/493     IPE240        2     S235JR         1816       1.7        55.7
    b/494     IPE240        2     S235JR         2736       2.5        84.0
    b/496     IPE240        1     S235JR         1843       1.7        56.5
    b/497     IPE240        1     S235JR         1820       1.7        55.8
    b/498     IPE270        1     S235JR         8465       8.8       305.0
    b/499     IPE270        3     S235JR         6857       7.1       247.1
    b/503     IPE270        1     S235JR         7122       7.4       256.6
    b/504     IPE270        2     S235JR         9068       9.4       326.7
    b/506     IPE270        2     S235JR         7120       7.4       256.5
    b/507     IPE270        1     S235JR         3150       3.3       113.5
    b/508     IPE270        4     S235JR          968       1.0        34.9
    b/510     IPE330        1     S235JR         7130       8.9       350.4
    b/511     IPE330        1     S235JR         9068      11.4       445.6
    b/512     IPE330        2     S235JR         7127       8.9       350.2
    b/513     IPE300        2     S235JR         5880       6.8       248.3
    b/530     IPE270        1     S235JR         7990       8.3       287.9
    b/531     IPE270        2     S235JR         8228       8.6       296.5
    b/533     IPE270        1     S235JR         9070       9.4       326.8
    b/534     IPE270        1     S235JR         9085       9.5       327.4
    b/535     IPE330        1     S235JR         7150       9.0       351.4
    b/539     IPE330        1     S235JR         5912       7.4       290.5
    b/540     IPE240        2     S235JR         1950       1.8        59.8
    b/541     IPE240        2     S235JR         1967       1.8        60.4
    b/542     IPE240        1     S235JR         1741       1.6        53.4
    b/543     IPE240        1     S235JR         1755       1.6        53.8
    b/544     IPE240        2     S235JR          310       0.3         9.5
    b/546     IPE240        1     S235JR         1763       1.6        54.1
    b/548     IPE240        1     S235JR         1775       1.6        54.5
    b/551     IPE270        1     S235JR         7237       7.5       260.8
    b/552     IPE270        1     S235JR          820       0.9        29.6
    b/553     IPE270        2     S235JR         3911       4.1       140.9
    b/554     IPE270        1     S235JR         3900       4.1       140.5
    b/555     IPE270        3     S235JR          575       0.6        20.7
    b/558     IPE240        2     S235JR         2160       2.0        66.3
    b/559     IPE240        1     S235JR          410       0.4        12.6
    b/565     IPE270        1     S235JR         3843       4.0       138.5
    b/566     IPE270        1     S235JR         3860       4.0       139.1
    b/569     IPE270        1     S235JR         3890       4.0       140.2
    b/570     IPE270        1     S235JR          833       0.9        30.0
    b/571     IPE270        1     S235JR          587       0.6        21.2
    b/574     IPE300        1     S235JR         5892       6.8       248.8
    b/575     IPE300        1     S235JR         5900       6.8       249.2
    b/576     IPE270        1     S235JR         7551       7.9       272.1
    b/596     IPE270        1     S235JR         5154       5.4       185.7
    b/599     IPE270        1     S235JR         7357       7.7       265.1
    b/600     IPE270        1     S235JR         7475       7.8       269.3
    b/603     IPE270        1     S235JR         7342       7.6       264.5
    b/606     IPE240        4     S235JR          417       0.4        12.8
    b/607     IPE270        1     S235JR          894       0.9        32.2
    b/623     IPE300        2     S235JR         8177       9.5       345.3
    b/624     IPE270        1     S235JR         3188       3.3       114.9
    b/625     IPE270        1     S235JR         4430       4.6       159.6
    b/626     IPE270        2     S235JR         3200       3.3       115.3
    b/627     IPE300        1     S235JR         8179       9.5       345.4
    b/629     IPE270        1     S235JR         6975       7.3       251.3
    b/630     IPE270        1     S235JR         7092       7.4       255.5
    b/631     IPE270        2     S235JR         7208       7.5       259.7
    b/632     IPE270        1     S235JR         7459       7.8       268.8
    b/633     IPE270        1     S235JR         7572       7.9       272.8
    b/634     IPE270        1     S235JR         7633       7.9       275.0
    b/635     IPE270        1     S235JR         7595       7.9       273.6
    b/636     IPE270        1     S235JR         7432       7.7       267.8
    b/637     IPE270        1     S235JR         7089       7.4       255.4
    b/638     IPE270        1     S235JR         6971       7.3       251.2
    b/639     IPE270        4     S235JR         6845       7.1       246.6
    b/641     IPE270        2     S235JR         4426       4.6       159.5
    b/642     IPE270        1     S235JR         7127       7.4       256.8
    b/644     IPE330        1     S235JR         9070      11.4       445.7
    b/645     IPE270        2     S235JR         7088       7.4       255.4
    b/646     IPE270        1     S235JR         7205       7.5       259.6
    b/647     IPE270        1     S235JR         7440       7.7       268.1
